<Athletic_Park_(Vancouver)>	Athletic Park (Vancouver)
<Aro_Tolbukhin._En_la_mente_del_asesino>	Aro Tolbukhin. En la mente del asesino
<Getafe_CF>	Getafe CF
<Südtiroler_Sparkasse_–_Cassa_di_Risparmio_di_Bolzano>	Südtiroler Sparkasse – Cassa di Risparmio di Bolzano
<Fortuna_Düsseldorf>	Fortuna Düsseldorf
<Jane_Bryan>	Jane Bryan
<Jean-Louis_Borloo>	Jean-Louis Borloo
<Netanya>	Netanya
<University_of_Adelaide>	University of Adelaide
<Granada_CF>	Granada CF
<Daigaku_Honyaku_Center>	Daigaku Honyaku Center
<Albuquerque,_New_Mexico>	Albuquerque, New Mexico
<London_Transport_Board>	London Transport Board
<Robert_Lešnik>	Robert Lešnik
<A.C._Reggiana_1919>	A.C. Reggiana 1919
<Shirley_Mitchell>	Shirley Mitchell
<Iván_Amaya>	Iván Amaya
<Janet_Jagan>	Janet Jagan
<Stephen_Jackson_(scientist)>	Stephen Jackson (scientist)
<Harivansh_Rai_Bachchan>	Harivansh Rai Bachchan
<Fresno,_California>	Fresno, California
<Wilfrid_Kent_Hughes>	Wilfrid Kent Hughes
<Paul_Waldron_Reilly>	Paul Waldron Reilly
<Boston>	Boston
<Philander_Smith_College>	Philander Smith College
<The_Village_(poem)>	The Village (poem)
<Theodosius_Dobzhansky>	Theodosius Dobzhansky
<Defy_Media>	Defy Media
<Frank_McNeil>	Frank McNeil
<Beverly_Adams>	Beverly Adams
<Richard_Brautigan>	Richard Brautigan
<Houston_Astros>	Houston Astros
<Latvia_national_under-17_football_team>	Latvia national under-17 football team
<Coventry_City_F.C.>	Coventry City F.C.
<Carolco_Pictures>	Carolco Pictures
<Alan_Dinehart>	Alan Dinehart
<AFC_Ajax>	AFC Ajax
<Ganbare!_Gian!!>	Ganbare! Gian!!
<WRRO>	WRRO
<Dolly_Menga>	Dolly Menga
<Pierre_Claude_Nolin>	Pierre Claude Nolin
<Regiment_of_Women>	Regiment of Women
<Ian_Carnell>	Ian Carnell
<Verree_Teasdale>	Verree Teasdale
<Sulamani>	Sulamani
<Vannevar_Bush_Award>	Vannevar Bush Award
<Mittag-Leffler_Institute>	Mittag-Leffler Institute
<Justin_Whitlock_Dart>	Justin Whitlock Dart
<Caroline_Blakiston>	Caroline Blakiston
<Poppy_Z._Brite>	Poppy Z. Brite
<Eiji_Sawamura_Award>	Eiji Sawamura Award
<CenturyLink>	CenturyLink
<Archibald_Cox>	Archibald Cox
<Tegan_Jovanka>	Tegan Jovanka
<Mike_Flanagan_(director)>	Mike Flanagan (director)
<Poste_italiane>	Poste italiane
<Song_of_Kali>	Song of Kali
<Studs_Terkel>	Studs Terkel
<Juerg_Neuenschwander>	Juerg Neuenschwander
<Nikki_(Barbie)>	Nikki (Barbie)
<Sins_of_My_Father_(film)>	Sins of My Father (film)
<Aerojet>	Aerojet
<Apollon_Limassol>	Apollon Limassol
<Theresa_May>	Theresa May
<Mercedes-Benz_W108>	Mercedes-Benz W108
<Kayf_Tara>	Kayf Tara
<Arliss_Howard>	Arliss Howard
<An_Obedient_Father>	An Obedient Father
<Carlo_Wieth>	Carlo Wieth
<Ernst_Rolf>	Ernst Rolf
<Peter_Ustinov>	Peter Ustinov
<Richard_Quine>	Richard Quine
<Warner_Bros._Records>	Warner Bros. Records
<Trust_Me,_I'm_Lying>	Trust Me, I'm Lying
<Mary_Ritter_Beard>	Mary Ritter Beard
<Busan>	Busan
<Tony_Young_(actor)>	Tony Young (actor)
<Melanie_Griffith>	Melanie Griffith
<Alfred_Laliberté>	Alfred Laliberté
<Duncombe_Park>	Duncombe Park
<Samir_Das>	Samir Das
<William_H._Bates>	William H. Bates
<Jero_Miñarro>	Jero Miñarro
<Roger_Hall_(playwright)>	Roger Hall (playwright)
<George_L._Harrison>	George L. Harrison
<Nina_Wayne>	Nina Wayne
<Henrik_Ibsen>	Henrik Ibsen
<Lorraine_Bracco>	Lorraine Bracco
<Mary_Peach>	Mary Peach
<C.D._Feirense>	C.D. Feirense
<Pinocchio_(1940_film)>	Pinocchio (1940 film)
<Sam_Edwards_(physicist)>	Sam Edwards (physicist)
<China>	China
<Jerry_Blackwell>	Jerry Blackwell
<Terra_Nostra_(novel)>	Terra Nostra (novel)
<Berthold_Viertel>	Berthold Viertel
<S.L._Benfica_B>	S.L. Benfica B
<Heidelberg>	Heidelberg
<Emma_Eames>	Emma Eames
<FC_Metz>	FC Metz
<The_Bodley_Head>	The Bodley Head
<Oskar_Lafontaine>	Oskar Lafontaine
<Norwich_City_F.C.>	Norwich City F.C.
<F.C._Vizela>	F.C. Vizela
<George_Kenneally>	George Kenneally
<Hornchurch_F.C.>	Hornchurch F.C.
<Pulitzer_Prize_for_Fiction>	Pulitzer Prize for Fiction
<Margaret_Mazzantini>	Margaret Mazzantini
<Lillie_Hayward>	Lillie Hayward
<Kimberly_Wright_Cassidy>	Kimberly Wright Cassidy
<Argosy_Empress_Casino>	Argosy Empress Casino
<University_of_Warsaw>	University of Warsaw
<Hong_Kong>	Hong Kong
<Carnival!>	Carnival!
<Jean_Stewart>	Jean Stewart
<Amy_Van_Nostrand>	Amy Van Nostrand
<KT_Tunstall>	KT Tunstall
<Barbara_Rush>	Barbara Rush
<John_Horton_Conway>	John Horton Conway
<London_Necropolis_Railway>	London Necropolis Railway
<AEL_Limassol>	AEL Limassol
<Moscow_Art_Theatre_production_of_Hamlet>	Moscow Art Theatre production of Hamlet
<Hugh_Jackman>	Hugh Jackman
<Thomas_W._Reps>	Thomas W. Reps
<Evolution_Studios>	Evolution Studios
<Gary_Patterson>	Gary Patterson
<Taiwan>	Taiwan
<The_Hasty-Pudding>	The Hasty-Pudding
<Deportivo_Alavés>	Deportivo Alavés
<Sukumari>	Sukumari
<Reginald_Blundell>	Reginald Blundell
<Moscow>	Moscow
<Philip_Warren_Anderson>	Philip Warren Anderson
<Wendy_Benson>	Wendy Benson
<Pale_Fire>	Pale Fire
<Otto_Hahn_Prize>	Otto Hahn Prize
<Damages_(TV_series)>	Damages (TV series)
<Victory_Bateman>	Victory Bateman
<Nene_Otsuka>	Nene Otsuka
<Paul_Snyder_(basketball)>	Paul Snyder (basketball)
<Legion_of_Merit>	Legion of Merit
<Rodgers_Instruments>	Rodgers Instruments
<Taito>	Taito
<The_Asiatic_Society>	The Asiatic Society
<Aeroporto_Guglielmo_Marconi_di_Bologna_(company)>	Aeroporto Guglielmo Marconi di Bologna (company)
<James_Smith_McDonnell>	James Smith McDonnell
<Matt_Besser>	Matt Besser
<River_City_FM_(Wanganui)>	River City FM (Wanganui)
<Harvey_Pekar>	Harvey Pekar
<Dragnet_(1951_TV_series)>	Dragnet (1951 TV series)
<George_J._Armelagos>	George J. Armelagos
<Clay_Felker>	Clay Felker
<G._Evelyn_Hutchinson>	G. Evelyn Hutchinson
<Never_the_Twain>	Never the Twain
<Earl_Foreman>	Earl Foreman
<Eve_Morey>	Eve Morey
<Shoba>	Shoba
<Eric_Villency>	Eric Villency
<Studio_33>	Studio 33
<International_Yacht_Restoration_School>	International Yacht Restoration School
