idx,s,r,o,gold_start,gold_end,pred_text,pred_start,pred_end,giou_top1,aeiou_top1,ae_start_top1,ae_end_top1,ae_avg_top1,ctx_1hop,ctx_2hop,ctx_used,prompt_chars,prompt_preview
0,12445,22,5654,2010,2011,Answer: 2010-2011,2010,2011,1.0,1.0,0,0,0.0,0,0,0,682,"### Subject
Nicolás Bertolo: Nicolás Santiago Bertolo (born 2 January 1986) is an Argentinian professional footballer who plays as a winger for Banfield in the Argentine Primera División. …

### Object
Real Zaragoza: Real Zaragoza, S.A.D. (Spanish pronunciation: [reˈal θaɾaˈɣoθa]), commonly referred to as Zaragoza, is a football club based in Zaragoza, Aragon, Spain, that c…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Nicolás Bertolo, member of sports team, Real Zaragoza)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
1,12371,22,10030,1997,1998,Answer: 1998-2002,1998,2002,0.16666666666666666,0.16666666666666666,1,4,2.5,0,0,0,736,"### Subject
Salvatore Fresi: Salvatore Fresi (born 16 January 1973) is an Italian former professional footballer who played as a centre-back & sweeper Fresi was born in La Maddalena, Sardi…

### Object
Italy national association football team: The Italy national football team (Italian: Nazionale di calcio dell'Italia) has represented Italy in international football since its first match in 1910. The …

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Salvatore Fresi, member of sports team, Italy national association football team)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
2,10993,22,9854,1982,1982,Answer: 1980-1985,1980,1985,0.16666666666666666,0.16666666666666666,2,3,2.5,0,0,0,750,"### Subject
Roberto Fernández Bonillo: Roberto Fernández Bonillo (born 5 July 1962), often known simply as Robert or Roberto, is a Spanish former footballer who played mostly as a central midfielder…

### Object
Spain national under-23 football team: The Spain Olympic football team (also known as Spain Under-23, or Spain U-23) represents Spain in international football competitions in the Olympic Games. The…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Roberto Fernández Bonillo, member of sports team, Spain national under-23 football team)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
3,10936,22,9633,2013,2014,Answer: 2010-2014,2010,2014,0.4,0.4,3,0,1.5,0,0,0,686,"### Subject
Alexander Merkel: Alexander Merkel (Kazakh: Александр Меркель; born 22 February 1992) is a Kazakh professional footballer who plays as a midfielder for Süper Lig club Gaziantep …

### Object
Udinese Calcio: Udinese Calcio, commonly referred to as Udinese, is a professional Italian football club based in Udine, Friuli-Venezia Giulia, that currently plays in Serie A…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Alexander Merkel, member of sports team, Udinese Calcio)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
4,10579,22,9898,2009,2010,Answer: 2013-2016,2013,2016,-0.25,0.125,4,6,5.0,0,0,0,692,"### Subject
Kornel Saláta: Kornel Saláta (Slovak pronunciation: [ˈkɔrnel ˈsalaːta]; Hungarian: Saláta Kornél; born 24 January 1985) is a Slovak professional football who plays as a centr…

### Object
ŠK Slovan Bratislava: ŠK Slovan Bratislava (Slovak pronunciation: [ˈslɔʋam ˈbracislaʋa], ""Bratislava Slav"") is a football club based in Bratislava, Slovakia, that plays in the Slova…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Kornel Saláta, member of sports team, ŠK Slovan Bratislava)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
5,8441,20,7092,1956,1956,Answer: ####-####,,,0.0,0.0,,,,0,0,0,692,"### Subject
Samuel Goudsmit: Samuel Abraham Goudsmit (July 11, 1902 – December 4, 1978) was a Dutch-American physicist famous for jointly proposing the concept of electron spin with George…

### Object
Nobel Prize in Physics: The Nobel Prize in Physics is a yearly award given by the Royal Swedish Academy of Sciences for those who have made the most outstanding contributions for huma…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Samuel Goudsmit, nominated for, Nobel Prize in Physics)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
6,9351,20,5762,1933,1933,Answer: ####-####,,,0.0,0.0,,,,0,0,0,690,"### Subject
Karel Čapek: Karel Čapek (Czech: [ˈkarɛl ˈtʃapɛk] (listen); 9 January 1890 – 25 December 1938) was a Czech writer, playwright and critic. He has become best known for his s…

### Object
Nobel Prize in Literature: The Nobel Prize in Literature (here meaning for literature) is a Swedish literature prize that is awarded annually, since 1901, to an author from any country w…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Karel Čapek, nominated for, Nobel Prize in Literature)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
7,7573,17,6897,1946,1946,Answer: ####-####,,,0.0,0.0,,,,0,0,0,745,"### Subject
Karl Landsteiner: Karl Landsteiner For Mem RS (German: [kaʁl ˈlantˌʃtaɪnɐ]; 14 June 1868 – 26 June 1943) was an Austrian-born American biologist, physician, and immunologist. He…

### Object
Lasker-De Bakey Clinical Medical Research Award: Lasker-De Bakey Clinical Medical Research Award is one of four annual awards presented by the Lasker Foundation. The Lasker-De Bakey award is given to honor ou…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Karl Landsteiner, award received, Lasker-De Bakey Clinical Medical Research Award)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
8,11922,22,10563,2013,2013,Answer: ####-####,,,0.0,0.0,,,,0,0,0,720,"### Subject
Juan Pablo Pino: Juan Pablo Pino Puello (born 30 March 1987) is a Colombian professional footballer who plays as a forward.On 10 February 2007, Pino played his first Ligue 1 ma…

### Object
Deportivo Independiente Medellín: Deportivo Independiente Medellín, also known as Independiente Medellín or DIM, is a Colombian professional football club based in Medellín that currently plays…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Juan Pablo Pino, member of sports team, Deportivo Independiente Medellín)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
9,3055,17,5950,1978,1978,Answer: 1978-1985,1978,1985,0.125,0.125,0,7,3.5,0,0,0,707,"### Subject
Vladimir Dzhanibekov: Vladimir Aleksandrovich Dzhanibekov (Russian: Владимир Александрович Джанибеков, born 13 May 1942) is a former cosmonaut who made five flights.Dzhanibekov was …

### Object
Hero of the Soviet Union: The title Hero of the Soviet Union (Russian: Герой Советского Союза, romanized: Geroy Sovietskogo Soyuza) was the highest distinction in the Soviet Union, awar…

### Question
Predict the yearly time interval for the target fact.
- Target triple: (Vladimir Dzhanibekov, award received, Hero of the Soviet Union)
- Output strictly as 'YYYY-YYYY'. If a single year is known, repeat it (e.g., '1998-1998').
- If unknown, use '####-####'. Provide only the final answer.

ANSWER: "
